Well,Sample description 1,Sample description 2,Sample description 3,Sample description 4,Target,Conc(copies/µL),Molecular Weight(pg/µL),Status,Status Reason,Experiment,SampleType,TargetType,Supermix,DyeName(s),Copies/20µLWell,TotalConfMax,TotalConfMin,PoissonConfMax,PoissonConfMin,Accepted Droplets,Positives,Negatives,Ch1+Ch2+,Ch1+Ch2-,Ch1-Ch2+,Ch1-Ch2-,Linkage,CNV,TotalCNVMax,TotalCNVMin,PoissonCNVMax,PoissonCNVMin,ReferenceCopies,UnknownCopies,Threshold1,Threshold2,Threshold3,ThresholdSigmaAbove,ThresholdSigmaBelow,ReferenceUsed,Ratio,TotalRatioMax,TotalRatioMin,PoissonRatioMax,PoissonRatioMin,Fractional Abundance,TotalFractionalAbundanceMax,TotalFractionalAbundanceMin,PoissonFractionalAbundanceMax,PoissonFractionalAbundanceMin,MeanAmplitudeOfPositives,MeanAmplitudeOfNegatives,MeanAmplitudeTotal,ExperimentComments,MergedWells,TotalConfidenceMax68,TotalConfidenceMin68,PoissonConfidenceMax68,PoissonConfidenceMin68,TotalCNVMax68,TotalCNVMin68,PoissonCNVMax68,PoissonCNVMin68,TotalRatioMax68,TotalRatioMin68,PoissonRatioMax68,PoissonRatioMin68,TotalFractionalAbundanceMax68,TotalFractionalAbundanceMin68,PoissonFractionalAbundanceMax68,PoissonFractionalAbundanceMin68,TiltCorrected
A01,std10E4,,,,Gadmor,4087.9853515625,,Manual,Droplets Analyzed Manually,DQ,PosCtrl,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,81759.703125,,,4180.345703125,4002.35083007813,21086,20433,653,0,0,0,0,,,,,,,,,8262.181640625,,,9.58042614782158,13.579849518971,,,,,,,,,,,,10014.2170315884,5581.74529290893,9876.95040703381,,,,,4134.20166015625,4043.51586914063,,,,,,,,,,,,,No
A02,smpl,,,,Gadmor,909.133422851563,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,18182.66796875,,,926.903686523438,891.627624511719,19927,10726,9201,0,0,0,0,,,,,,,,,8262.181640625,,,12.7653350933655,13.4586288054849,,,,,,,,,,,,10939.8243507671,6183.30818512424,8743.57277049512,,,,,918.166381835938,900.169311523438,,,,,,,,,,,,,No
A03,smpl,,,,Gadmor,296.665588378906,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,5933.3115234375,,,305.221557617188,288.171447753906,20984,4677,16307,0,0,0,0,,,,,,,,,8262.181640625,,,11.9946926149581,15.4654442877454,,,,,,,,,,,,10745.6279649749,6046.22070243631,7093.64387089289,,,,,301.023132324219,292.324188232422,,,,,,,,,,,,,No
A04,smpl,,,,Gadmor,18.5599555969238,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,371.199096679688,,,20.5826873779297,16.5406951904297,20700,324,20376,0,0,0,0,,,,,,,,,8262.181640625,,,10.5913005026155,17.6964002610787,,,,,,,,,,,,10307.4972903405,5828.02640107196,5898.1398584692,,,,,19.5915279388428,17.5292873382568,,,,,,,,,,,,,No
A05,smpl,,,,Gadmor,18.7159729003906,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,374.319458007813,,,20.7716598510742,16.6638717651367,20212,319,19893,0,0,0,0,,,,,,,,,8262.181640625,,,8.28781835998982,11.7385257005817,,,,,,,,,,,,11093.6954012784,6267.50043585232,6343.67083927459,,,,,19.7643432617188,17.6685352325439,,,,,,,,,,,,,No
B01,std10E3,,,,Gadmor,402.618072509766,,Manual,Droplets Analyzed Manually,DQ,PosCtrl,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,8052.361328125,,,412.960235595703,392.366088867188,20465,5931,14534,0,0,0,0,,,,,,,,,8262.181640625,,,9.29878628008892,20.5167246066909,,,,,,,,,,,,10061.5977596527,5584.90455831746,6882.30340401104,,,,,407.88330078125,397.376312255859,,,,,,,,,,,,,No
B02,smpl,,,,Gadmor,838.376281738281,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,16767.525390625,,,855.220764160156,821.769592285156,19757,10069,9688,0,0,0,0,,,,,,,,,8262.181640625,,,11.0351924575486,12.0966075042691,,,,,,,,,,,,10871.3005031882,6139.79669113852,8551.17047681083,,,,,846.940246582031,829.874206542969,,,,,,,,,,,,,No
B03,smpl,,,,Gadmor,783.173217773438,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,15663.46484375,,,798.677001953125,767.87109375,21200,10305,10895,0,0,0,0,,,,,,,,,8262.181640625,,,10.6073415726315,11.9007391974422,,,,,,,,,,,,11116.814293634,6239.91416835776,8610.50170566775,,,,,791.057739257813,775.341125488281,,,,,,,,,,,,,No
B04,smpl,,,,Gadmor,14.6186428070068,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,292.372863769531,,,16.501293182373,12.7390012741089,18787,232,18555,0,0,0,0,,,,,,,,,8262.181640625,,,6.44513738993113,8.75232898188912,,,,,,,,,,,,10948.3624730603,6146.47924208645,6205.77752864556,,,,,15.5788021087646,13.6592674255371,,,,,,,,,,,,,No
B05,smpl,,,,Gadmor,25.4752941131592,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,509.505889892578,,,27.8635864257813,23.0918407440186,20447,438,20009,0,0,0,0,,,,,,,,,8262.181640625,,,5.06949023863607,4.59120272718844,,,,,,,,,,,,11493.7997288813,6487.29396410287,6594.53950256685,,,,,26.6932029724121,24.2586441040039,,,,,,,,,,,,,No
C01,std10E2,,,,Gadmor,41.1460075378418,,Manual,Droplets Analyzed Manually,DQ,PosCtrl,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,822.920166015625,,,44.1286659240723,38.1708831787109,21327,733,20594,0,0,0,0,,,,,,,,,8262.181640625,,,5.43174856212156,14.2860856560457,,,,,,,,,,,,9990.84261622826,5527.86576026012,5681.2563935149,,,,,42.6668281555176,39.6271438598633,,,,,,,,,,,,,No
