Well,Sample description 1,Sample description 2,Sample description 3,Sample description 4,Target,Conc(copies/µL),Molecular Weight(pg/µL),Status,Status Reason,Experiment,SampleType,TargetType,Supermix,DyeName(s),Copies/20µLWell,TotalConfMax,TotalConfMin,PoissonConfMax,PoissonConfMin,Accepted Droplets,Positives,Negatives,Ch1+Ch2+,Ch1+Ch2-,Ch1-Ch2+,Ch1-Ch2-,Linkage,CNV,TotalCNVMax,TotalCNVMin,PoissonCNVMax,PoissonCNVMin,ReferenceCopies,UnknownCopies,Threshold1,Threshold2,Threshold3,ThresholdSigmaAbove,ThresholdSigmaBelow,ReferenceUsed,Ratio,TotalRatioMax,TotalRatioMin,PoissonRatioMax,PoissonRatioMin,Fractional Abundance,TotalFractionalAbundanceMax,TotalFractionalAbundanceMin,PoissonFractionalAbundanceMax,PoissonFractionalAbundanceMin,MeanAmplitudeOfPositives,MeanAmplitudeOfNegatives,MeanAmplitudeTotal,ExperimentComments,MergedWells,TotalConfidenceMax68,TotalConfidenceMin68,PoissonConfidenceMax68,PoissonConfidenceMin68,TotalCNVMax68,TotalCNVMin68,PoissonCNVMax68,PoissonCNVMin68,TotalRatioMax68,TotalRatioMin68,PoissonRatioMax68,PoissonRatioMin68,TotalFractionalAbundanceMax68,TotalFractionalAbundanceMin68,PoissonFractionalAbundanceMax68,PoissonFractionalAbundanceMin68,TiltCorrected
A01,STD10E4,,,,Myaare,3506.46069335938,,OK,,DQ,PosCtrl,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,70129.2109375,,,3583.00561523438,3434.59301757813,18102,17183,919,0,0,0,0,,,,,,,,,1711.98132324219,,,20.3715328360027,31.9917733279618,,,,,,,,,,,,5068.34114719496,602.211431692163,4841.60525013678,,,,,3544.89184570313,3469.24536132813,,,,,,,,,,,,,No
A02,smpl,,,,Myaare,0,,OK,,DQ,Unknown,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,0,,,0.198312401771545,0,17775,0,17775,0,0,0,0,,,,,,,,,1711.98132324219,,,,36.1467048443754,,,,,,,,,,,,,602.335329265353,602.335329265353,,,,,0.0906132310628891,0,,,,,,,,,,,,,No
A03,smpl,,,,Myaare,0,,OK,,DQ,Unknown,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,0,,,0.196971446275711,0,17896,0,17896,0,0,0,0,,,,,,,,,1711.98132324219,,,,35.5062134448094,,,,,,,,,,,,,614.616725401522,614.616725401522,,,,,0.0900005474686623,0,,,,,,,,,,,,,No
A04,smpl,,,,Myaare,0,,OK,,DQ,Unknown,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,0,,,0.189729809761047,0,18579,0,18579,0,0,0,0,,,,,,,,,1711.98132324219,,,,35.8634271000553,,,,,,,,,,,,,594.207980806768,594.207980806768,,,,,0.086691826581955,0,,,,,,,,,,,,,No
A05,smpl,,,,Myaare,0,,OK,,DQ,Unknown,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,0,,,0.179205626249313,0,19670,0,19670,0,0,0,0,,,,,,,,,1711.98132324219,,,,35.7414739825505,,,,,,,,,,,,,599.506150005672,599.506150005672,,,,,0.0818832814693451,0,,,,,,,,,,,,,No
A06,smpl,,,,Myaare,0,,OK,,DQ,Unknown,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,0,,,0.181662440299988,0,19404,0,19404,0,0,0,0,,,,,,,,,1711.98132324219,,,,34.037172342855,,,,,,,,,,,,,623.649524615588,623.649524615588,,,,,0.0830058306455612,0,,,,,,,,,,,,,No
A07,smpl,,,,Myaare,0,,OK,,DQ,Unknown,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,0,,,0.173892080783844,0,20271,0,20271,0,0,0,0,,,,,,,,,1711.98132324219,,,,34.9945735640564,,,,,,,,,,,,,614.096096845567,614.096096845567,,,,,0.0794555023312569,0,,,,,,,,,,,,,No
A08,smpl,,,,Myaare,0.0549149550497532,,OK,,DQ,Unknown,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,1.09829914569855,,,0.262296944856644,0.00230637658387423,21424,1,21423,0,0,0,0,,,,,,,,,1711.98132324219,,,,35.6070490539388,,,,,,,,,,,,4681.10546875,608.338526207732,608.52862922036,,,,,0.136688083410263,0.0148817002773285,,,,,,,,,,,,,No
A09,smpl,,,,Myaare,0,,OK,,DQ,Unknown,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,0,,,0.16498726606369,0,21365,0,21365,0,0,0,0,,,,,,,,,1711.98132324219,,,,34.8644464167984,,,,,,,,,,,,,621.251867814335,621.251867814335,,,,,0.0753868371248245,0,,,,,,,,,,,,,No
A10,smpl,,,,Myaare,0,,OK,,DQ,Unknown,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,0,,,0.266166180372238,0,13244,0,13244,0,0,0,0,,,,,,,,,1711.98132324219,,,,14.0253820932583,,,,,,,,,,,,,576.417702051852,576.417702051852,,,,,0.121615186333656,0,,,,,,,,,,,,,No
A11,smpl,,,,Myaare,0,,OK,,DQ,Unknown,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,0,,,0.169355228543282,0,20814,0,20814,0,0,0,0,,,,,,,,,1711.98132324219,,,,34.8844529023989,,,,,,,,,,,,,620.628798203932,620.628798203932,,,,,0.0773825794458389,0,,,,,,,,,,,,,No
A12,smpl,,,,Myaare,0,,OK,,DQ,Unknown,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,0,,,0.185965940356255,0,18955,0,18955,0,0,0,0,,,,,,,,,1711.98132324219,,,,32.9268716835165,,,,,,,,,,,,,639.827606437842,639.827606437842,,,,,0.0849721059203148,0,,,,,,,,,,,,,No
B01,STD10E3,,,,Myaare,320.229309082031,,OK,,DQ,PosCtrl,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,6404.5859375,,,330.02783203125,310.511688232422,17470,4163,13307,0,0,0,0,,,,,,,,,1711.98132324219,,,16.2847467097917,35.7361043411481,,,,,,,,,,,,5076.11506011032,611.824529230295,1675.63915316009,,,,,325.218353271484,315.261291503906,,,,,,,,,,,,,No
B02,smpl,,,,Myaare,0,,OK,,DQ,Unknown,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,0,,,0.201694115996361,0,17477,0,17477,0,0,0,0,,,,,,,,,1711.98132324219,,,,34.2999674867308,,,,,,,,,,,,,637.162997306086,637.162997306086,,,,,0.0921583399176598,0,,,,,,,,,,,,,No
