"","Filt.Rnd","Filt.mbr.pore","Filt.Type","Biol.Rpl.nr","unkFilt.nr","Filtreret.volume..mL.","dato.for.filtrering","Tidspnkt.start.filt","Tidspnkt.slut.filt","Tidspnkt.Filt.indfrosset","Cartridge.nummer.I.manifold","Manifold.og.pumpe.nummer","Notat","ESXNR","subESXNr","ekstraktionsudbytte_vol_fra_filter_mL","ekstraktionsdato","konc_ng_per_uL","Note_til_ekstraktion","vol_ATL_buffer_uL","vol_proteinaseK_uL","vol_AL_buffer_uL","vol_96EtOH_uL","vol_AE_buffer_for_elutering_uL","fltvol.mL","flttim.end","flttim.sta","dt.f.filt","flttim.sta_hh","flttim.sta_mm","flttim.sta_hh_mm","flttim.end_hh","flttim.end_mm","flttim.end_hh_mm","fltm_end","fltm_sta","diff.time","extrvl_mL","extrconc_ngpuL","volATL_uL","volPK_uL","dt.f.extr","diff.dt.fil.extr","mlpermin","vlf.extrc","vly.rt","filt.smpltp","filt.psz","filt.mbr","extrconc_ngpuL_Pfltvol.L","covl","tmflt_end","tmflt_frz","tm.btw_fil_freez"
"1","Rnd01","STX_0.22","CPS","1","1",5000,"2024-jul-16","1101","1417","1437","NA","1","",35,1,0.7,"2024-aug-28","13.8","","720","80","400","400","200",5000,1417,1101,2024-07-16,"11","01","2024-07-16 11:01","14","17","2024-07-16 14:17",2024-07-16 14:17:00,2024-07-16 11:01:00,196,0.7,13.8,720,80,2024-08-28,43,25.5102040816327,800,0.875,"smpl",0.22,"STX",2.76,2760,2024-07-16 14:17:00,2024-07-16 14:37:00,20
"2","Rnd01","STX_0.22","CPS","2","2",5000,"2024-jul-16","1101","1419","1437","NA","1","",35,2,0.8,"2024-aug-28","14.6","","720","80","400","400","200",5000,1419,1101,2024-07-16,"11","01","2024-07-16 11:01","14","19","2024-07-16 14:19",2024-07-16 14:19:00,2024-07-16 11:01:00,198,0.8,14.6,720,80,2024-08-28,43,25.2525252525253,800,1,"smpl",0.22,"STX",2.92,2920,2024-07-16 14:19:00,2024-07-16 14:37:00,18
"3","Rnd01","STX_0.22","CPS","3","3",5000,"2024-jul-16","1101","1419","1437","NA","1","",35,3,0.8,"2024-aug-28","14.2","","720","80","400","400","200",5000,1419,1101,2024-07-16,"11","01","2024-07-16 11:01","14","19","2024-07-16 14:19",2024-07-16 14:19:00,2024-07-16 11:01:00,198,0.8,14.2,720,80,2024-08-28,43,25.2525252525253,800,1,"smpl",0.22,"STX",2.84,2840,2024-07-16 14:19:00,2024-07-16 14:37:00,18
"4","Rnd01","STX_0.22","CPS","4","4",5000,"2024-jul-16","1101","1419","1437","NA","1","",35,4,0.7,"2024-aug-28","18.1","","720","80","400","400","200",5000,1419,1101,2024-07-16,"11","01","2024-07-16 11:01","14","19","2024-07-16 14:19",2024-07-16 14:19:00,2024-07-16 11:01:00,198,0.7,18.1,720,80,2024-08-28,43,25.2525252525253,800,0.875,"smpl",0.22,"STX",3.62,3620,2024-07-16 14:19:00,2024-07-16 14:37:00,18
"5","Rnd01","STX_0.22","CPS","5","5",5000,"2024-jul-16","1101","1419","1437","NA","1","",35,5,0.8,"2024-aug-28","16.2","","720","80","400","400","200",5000,1419,1101,2024-07-16,"11","01","2024-07-16 11:01","14","19","2024-07-16 14:19",2024-07-16 14:19:00,2024-07-16 11:01:00,198,0.8,16.2,720,80,2024-08-28,43,25.2525252525253,800,1,"smpl",0.22,"STX",3.24,3240,2024-07-16 14:19:00,2024-07-16 14:37:00,18
"6","Rnd01","STX_0.22","CPS","6","6",5000,"2024-jul-16","1101","1419","1437","NA","1","",35,6,0.8,"2024-aug-28","20","","720","80","400","400","200",5000,1419,1101,2024-07-16,"11","01","2024-07-16 11:01","14","19","2024-07-16 14:19",2024-07-16 14:19:00,2024-07-16 11:01:00,198,0.8,20,720,80,2024-08-28,43,25.2525252525253,800,1,"smpl",0.22,"STX",4,4000,2024-07-16 14:19:00,2024-07-16 14:37:00,18
"7","Rnd01","STX_0.22","CPS","7","7",5000,"2024-jul-16","1101","1419","1437","NA","1","",35,7,0.8,"2024-aug-28","19.8","","720","80","400","400","200",5000,1419,1101,2024-07-16,"11","01","2024-07-16 11:01","14","19","2024-07-16 14:19",2024-07-16 14:19:00,2024-07-16 11:01:00,198,0.8,19.8,720,80,2024-08-28,43,25.2525252525253,800,1,"smpl",0.22,"STX",3.96,3960,2024-07-16 14:19:00,2024-07-16 14:37:00,18
"8","Rnd01","STX_0.22","CPS","8","8",5000,"2024-jul-16","1101","1421","1437","NA","1","",35,8,0.7,"2024-aug-28","14.8","","720","80","400","400","200",5000,1421,1101,2024-07-16,"11","01","2024-07-16 11:01","14","21","2024-07-16 14:21",2024-07-16 14:21:00,2024-07-16 11:01:00,200,0.7,14.8,720,80,2024-08-28,43,25,800,0.875,"smpl",0.22,"STX",2.96,2960,2024-07-16 14:21:00,2024-07-16 14:37:00,16
"9","Rnd04","STX_0.45","CPS","1","121",5000,"2024-jul-18","1136","1457","1514","NA","1","",35,9,0.7,"2024-aug-28","13.8","","720","80","400","400","200",5000,1457,1136,2024-07-18,"11","36","2024-07-18 11:36","14","57","2024-07-18 14:57",2024-07-18 14:57:00,2024-07-18 11:36:00,201,0.7,13.8,720,80,2024-08-28,41,24.8756218905473,800,0.875,"smpl",0.45,"STX",2.76,2760,2024-07-18 14:57:00,2024-07-18 15:14:00,17
"10","Rnd04","STX_0.45","CPS","2","122",5000,"2024-jul-18","1136","1457","1514","NA","1","",35,10,0.8,"2024-aug-28","15.6","","720","80","400","400","200",5000,1457,1136,2024-07-18,"11","36","2024-07-18 11:36","14","57","2024-07-18 14:57",2024-07-18 14:57:00,2024-07-18 11:36:00,201,0.8,15.6,720,80,2024-08-28,41,24.8756218905473,800,1,"smpl",0.45,"STX",3.12,3120,2024-07-18 14:57:00,2024-07-18 15:14:00,17
